Ticker,Model,Seq,R2,MAE,RMSE,MSE,MAPE
DIS,Prices-LSTM,5,0.894 ± 0.033,1.999 ± 0.340,2.496 ± 0.381,6.359 ± 1.985,2.250 ± 0.398
DIS,Prices-LSTM,10,0.888 ± 0.026,2.086 ± 0.248,2.586 ± 0.303,6.769 ± 1.548,2.342 ± 0.281
DIS,Prices-LSTM,20,0.866 ± 0.047,2.165 ± 0.429,2.665 ± 0.474,7.304 ± 2.555,2.478 ± 0.520
DIS,Prices-News-LSTM,5,0.886 ± 0.043,2.079 ± 0.436,2.580 ± 0.470,6.856 ± 2.594,2.338 ± 0.525
DIS,Prices-News-LSTM,10,0.874 ± 0.039,2.223 ± 0.386,2.738 ± 0.400,7.640 ± 2.337,2.512 ± 0.457
DIS,Prices-News-LSTM,20,0.891 ± 0.033,1.941 ± 0.316,2.414 ± 0.349,5.937 ± 1.805,2.203 ± 0.385
DIS,BiLSTM,5,0.902 ± 0.045,1.872 ± 0.460,2.371 ± 0.518,5.863 ± 2.713,2.104 ± 0.550
DIS,BiLSTM,10,0.859 ± 0.055,2.379 ± 0.541,2.869 ± 0.551,8.505 ± 3.321,2.718 ± 0.634
DIS,BiLSTM,20,0.860 ± 0.040,2.233 ± 0.387,2.734 ± 0.413,7.630 ± 2.160,2.568 ± 0.468
DIS,BiLSTM-Attention,5,0.887 ± 0.029,2.080 ± 0.324,2.582 ± 0.343,6.771 ± 1.751,2.343 ± 0.368
DIS,BiLSTM-Attention,10,0.911 ± 0.016,1.848 ± 0.161,2.318 ± 0.199,5.410 ± 0.949,2.064 ± 0.195
DIS,BiLSTM-Attention,20,0.874 ± 0.034,2.051 ± 0.262,2.599 ± 0.328,6.852 ± 1.844,2.332 ± 0.320
MSFT,Prices-LSTM,5,0.966 ± 0.021,5.601 ± 1.950,6.834 ± 2.046,50.477 ± 31.985,1.835 ± 0.614
MSFT,Prices-LSTM,10,0.959 ± 0.019,6.134 ± 1.586,7.456 ± 1.681,58.129 ± 26.498,1.987 ± 0.485
MSFT,Prices-LSTM,20,0.930 ± 0.041,7.475 ± 2.561,8.866 ± 2.608,84.725 ± 50.219,2.370 ± 0.793
MSFT,Prices-News-LSTM,5,0.967 ± 0.013,5.527 ± 1.193,6.913 ± 1.243,49.183 ± 19.166,1.815 ± 0.375
MSFT,Prices-News-LSTM,10,0.958 ± 0.013,6.137 ± 1.117,7.550 ± 1.183,58.262 ± 18.598,1.992 ± 0.348
MSFT,Prices-News-LSTM,20,0.961 ± 0.018,5.370 ± 1.346,6.740 ± 1.465,47.364 ± 22.195,1.729 ± 0.415
MSFT,BiLSTM,5,0.968 ± 0.012,5.481 ± 1.195,6.795 ± 1.278,47.648 ± 17.399,1.771 ± 0.368
MSFT,BiLSTM,10,0.973 ± 0.008,4.747 ± 0.833,6.037 ± 0.892,37.161 ± 11.712,1.542 ± 0.257
MSFT,BiLSTM,20,0.969 ± 0.012,4.779 ± 1.051,6.073 ± 1.082,37.929 ± 14.620,1.534 ± 0.326
MSFT,BiLSTM-Attention,5,0.967 ± 0.012,5.524 ± 1.062,6.908 ± 1.194,49.007 ± 17.722,1.784 ± 0.323
MSFT,BiLSTM-Attention,10,0.959 ± 0.031,6.029 ± 2.238,7.290 ± 2.342,58.084 ± 42.766,1.959 ± 0.693
MSFT,BiLSTM-Attention,20,0.940 ± 0.033,6.812 ± 2.096,8.223 ± 2.212,72.012 ± 39.552,2.171 ± 0.633
WMT,Prices-LSTM,5,0.893 ± 0.055,0.693 ± 0.218,0.853 ± 0.214,0.769 ± 0.393,1.387 ± 0.431
WMT,Prices-LSTM,10,0.788 ± 0.075,1.036 ± 0.203,1.213 ± 0.213,1.513 ± 0.537,2.059 ± 0.401
WMT,Prices-LSTM,20,0.835 ± 0.108,0.812 ± 0.279,1.007 ± 0.315,1.104 ± 0.719,1.608 ± 0.543
WMT,Prices-News-LSTM,5,0.909 ± 0.039,0.631 ± 0.161,0.793 ± 0.161,0.652 ± 0.281,1.264 ± 0.319
WMT,Prices-News-LSTM,10,0.885 ± 0.044,0.720 ± 0.168,0.892 ± 0.169,0.821 ± 0.313,1.433 ± 0.331
WMT,Prices-News-LSTM,20,0.761 ± 0.144,1.003 ± 0.344,1.211 ± 0.376,1.594 ± 0.958,1.982 ± 0.676
WMT,BiLSTM,5,0.911 ± 0.037,0.638 ± 0.162,0.786 ± 0.155,0.640 ± 0.266,1.271 ± 0.320
WMT,BiLSTM,10,0.891 ± 0.081,0.696 ± 0.283,0.845 ± 0.270,0.779 ± 0.578,1.386 ± 0.565
WMT,BiLSTM,20,0.901 ± 0.034,0.647 ± 0.145,0.802 ± 0.141,0.661 ± 0.224,1.281 ± 0.285
WMT,BiLSTM-Attention,5,0.908 ± 0.040,0.648 ± 0.175,0.795 ± 0.178,0.661 ± 0.288,1.291 ± 0.343
WMT,BiLSTM-Attention,10,0.897 ± 0.052,0.683 ± 0.211,0.835 ± 0.201,0.734 ± 0.371,1.366 ± 0.413
WMT,BiLSTM-Attention,20,0.891 ± 0.053,0.678 ± 0.200,0.832 ± 0.200,0.728 ± 0.353,1.344 ± 0.394
