Ticker,Run,Seq,R2,MAE
MSFT,1,10,0.9722310089226244,0.02048714747861509
MSFT,2,10,0.9745896454953377,0.019364988871511824
MSFT,3,10,0.9773162812323227,0.018083941114160028
MSFT,4,10,0.9820923893422565,0.016257306524789794
MSFT,5,10,0.9737584811342636,0.019603787315497636
MSFT,6,10,0.9778210417253119,0.017935045892458836
MSFT,7,10,0.9774361721688537,0.01814460788781725
MSFT,8,10,0.980218589071719,0.016841386124350804
MSFT,9,10,0.9659009480443471,0.022761482576919945
MSFT,10,10,0.953496133513487,0.028052753637183042
DIS,1,10,0.8824052231875592,0.019011384640391916
DIS,2,10,0.8304982033681505,0.023824535994925355
DIS,3,10,0.9077324270408327,0.016561592773595202
DIS,4,10,0.9134196030904709,0.015809372452452262
DIS,5,10,0.8162574186798328,0.02433882928407323
DIS,6,10,0.820679950654348,0.02371352643475852
DIS,7,10,0.9029873148681452,0.016869842852307266
DIS,8,10,0.911881039835339,0.01594044947504073
DIS,9,10,0.7476967922691458,0.029979513560735402
DIS,10,10,0.8609725885385935,0.020731720101525443
WMT,1,10,0.672602833614515,0.06215763720683407
WMT,2,10,0.8741137079600341,0.03538346240843423
WMT,3,10,0.9455133076997612,0.020643200217080625
WMT,4,10,0.9418358294180582,0.02144054557977698
WMT,5,10,0.9050188476819737,0.02930576179591861
WMT,6,10,0.8863982470619584,0.03201280765661303
WMT,7,10,0.9334191212928807,0.02311763347250014
WMT,8,10,0.9480473850260114,0.01991805152676785
WMT,9,10,0.8887728167796374,0.032498887918692425
WMT,10,10,0.9105404021718115,0.02805124307739862
